Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,128.91,129.88,127.57,129.17,129.17,59222197
2023-01-03,128.83,131.75,126.33,128.99,128.99,58619909
2023-01-04,130.16,132.0,129.15,130.49,130.49,81998144
2023-01-05,134.32,135.33,132.61,133.89,133.89,100197527
2023-01-06,133.58,134.17,132.98,133.49,133.49,95639356
2023-01-09,132.99,133.93,130.24,133.1,133.1,66095628
2023-01-10,136.65,138.45,133.79,136.69,136.69,70228880
2023-01-11,139.04,140.35,136.24,138.55,138.55,85397660
2023-01-12,137.22,140.18,134.88,137.6,137.6,74281482
2023-01-13,139.06,140.61,136.56,138.96,138.96,72127117
2023-01-16,138.03,139.1,137.37,138.03,138.03,88148376
2023-01-17,137.21,139.23,134.73,137.09,137.09,48045068
2023-01-18,137.23,140.03,134.92,137.77,137.77,53640517
2023-01-19,133.94,134.77,132.53,133.54,133.54,115553024
2023-01-20,130.31,131.12,128.12,129.87,129.87,64174274
2023-01-23,128.85,129.32,127.85,128.78,128.78,96325411
2023-01-24,126.95,129.1,124.12,126.75,126.75,69316816
2023-01-25,127.95,129.95,125.9,127.52,127.52,70179773
2023-01-26,125.94,127.45,123.04,125.73,125.73,50968506
2023-01-27,122.57,125.25,120.02,122.91,122.91,79094740
2023-01-30,126.07,128.38,125.4,126.0,126.0,111870819
2023-01-31,125.75,127.53,123.21,125.64,125.64,62784552
2023-02-01,125.82,128.35,124.33,125.9,125.9,58602126
2023-02-02,123.29,124.14,121.31,123.06,123.06,86241305
2023-02-03,122.49,123.12,120.18,122.06,122.06,68889982
2023-02-06,122.82,123.81,121.8,122.4,122.4,62539015
2023-02-07,120.14,120.68,117.55,120.19,120.19,95809609
2023-02-08,120.67,122.63,119.54,121.04,121.04,84525809
2023-02-09,120.42,122.92,119.51,119.96,119.96,52190948
2023-02-10,119.81,120.26,118.13,119.49,119.49,68234756
2023-02-13,118.06,119.04,117.56,118.41,118.41,70198441
2023-02-14,122.55,123.97,119.57,122.14,122.14,69691356
2023-02-15,122.59,125.13,120.51,122.22,122.22,76230596
2023-02-16,120.22,121.31,118.15,120.2,120.2,55075026
2023-02-17,122.04,123.58,120.96,121.95,121.95,94835059
2023-02-20,119.51,120.06,119.1,119.6,119.6,89991040
2023-02-21,119.7,120.82,117.65,120.12,120.12,50793785
2023-02-22,116.2,118.88,115.09,116.35,116.35,63011829
2023-02-23,114.18,116.62,111.83,113.91,113.91,80066987
2023-02-24,113.93,114.74,112.65,114.38,114.38,48761898
2023-02-27,115.73,118.32,114.2,115.88,115.88,67242554
2023-02-28,116.22,118.08,115.81,116.32,116.32,56584140
2023-03-01,116.24,118.5,114.99,116.2,116.2,55390409
2023-03-02,116.12,117.47,113.95,115.73,115.73,95025481
2023-03-03,112.87,114.46,110.64,113.01,113.01,70108219
2023-03-06,111.64,113.15,109.5,111.78,111.78,101099323
2023-03-07,111.24,112.98,109.06,111.03,111.03,77482481
2023-03-08,113.02,113.71,111.08,113.07,113.07,106001049
2023-03-09,113.56,114.22,112.9,113.81,113.81,90049861
2023-03-10,110.56,111.59,109.31,110.61,110.61,66346231
2023-03-13,110.98,113.12,109.64,111.3,111.3,84673666
2023-03-14,110.41,111.45,108.22,110.69,110.69,81518308
2023-03-15,109.56,111.29,108.94,109.56,109.56,51007251
2023-03-16,110.69,113.14,109.78,110.77,110.77,52385885
2023-03-17,113.13,113.67,110.42,112.75,112.75,70965872
2023-03-20,114.46,116.4,113.48,114.59,114.59,72044737
2023-03-21,113.18,114.47,111.79,113.11,113.11,100377189
2023-03-22,112.75,114.95,110.33,112.63,112.63,65287191
2023-03-23,112.91,114.08,111.41,113.35,113.35,92086321
2023-03-24,115.43,117.3,113.81,115.28,115.28,53620531
2023-03-27,114.18,116.64,112.03,114.48,114.48,93479377
2023-03-28,114.65,117.06,113.77,114.23,114.23,93530298
2023-03-29,111.94,114.05,111.28,112.25,112.25,105221601
2023-03-30,110.06,111.51,109.04,110.14,110.14,74508493
2023-03-31,111.35,113.36,109.88,111.72,111.72,70423026
2023-04-03,114.78,117.01,112.7,114.32,114.32,86417734
2023-04-04,114.29,115.87,113.19,114.29,114.29,50163480
2023-04-05,116.38,116.79,114.93,116.29,116.29,67658058
2023-04-06,116.68,119.51,114.25,117.09,117.09,100113535
2023-04-07,116.18,118.05,114.53,115.95,115.95,79314893
2023-04-10,116.48,118.6,115.7,116.75,116.75,50078329
2023-04-11,120.2,121.05,118.23,119.82,119.82,103020201
2023-04-12,119.57,121.72,117.06,119.86,119.86,60294611
2023-04-13,122.76,124.35,121.89,123.06,123.06,61460324
2023-04-14,117.42,119.67,115.28,117.86,117.86,123798299
2023-04-17,119.54,120.16,117.49,119.56,119.56,53450487
2023-04-18,119.91,121.76,117.58,119.84,119.84,61928991
2023-04-19,118.95,121.99,117.08,119.36,119.36,91306112
2023-04-20,119.92,120.39,118.74,119.65,119.65,47632715
2023-04-21,115.8,118.34,114.39,115.84,115.84,91215582
2023-04-24,115.55,116.79,113.43,115.53,115.53,93600465
2023-04-25,116.26,118.59,115.64,116.31,116.31,80141814
2023-04-26,119.16,121.39,118.53,119.26,119.26,77735218
2023-04-27,118.4,120.03,117.7,118.35,118.35,55050330
2023-04-28,116.55,118.87,114.52,116.88,116.88,76657610
2023-05-01,115.72,118.3,114.17,116.02,116.02,90508576
2023-05-02,118.22,119.48,117.49,117.88,117.88,95988198
2023-05-03,119.05,120.14,117.75,118.62,118.62,70551065
2023-05-04,117.58,119.54,115.05,117.7,117.7,95452617
2023-05-05,118.58,120.98,116.12,118.8,118.8,61684390
2023-05-08,119.24,121.32,117.53,119.1,119.1,69919178
2023-05-09,121.03,123.31,120.45,121.11,121.11,60556700
2023-05-10,119.37,121.17,117.96,119.82,119.82,96638750
2023-05-11,118.96,121.5,117.46,119.28,119.28,69725440
2023-05-12,118.83,119.46,116.25,118.62,118.62,90418567
2023-05-15,116.01,117.56,114.76,115.87,115.87,101988188
2023-05-16,116.1,116.9,115.36,116.54,116.54,76744609
2023-05-17,116.89,118.22,115.16,117.15,117.15,50926061
2023-05-18,117.01,118.44,116.16,117.27,117.27,83759947
2023-05-19,117.08,118.31,116.49,116.92,116.92,50913523
2023-05-22,113.86,116.15,111.79,114.3,114.3,105700313
2023-05-23,113.25,114.79,111.88,113.61,113.61,63067019
2023-05-24,113.34,114.65,111.2,113.07,113.07,69691477
2023-05-25,111.39,112.52,110.62,111.68,111.68,82877722
2023-05-26,111.62,112.75,110.26,111.48,111.48,71486469
2023-05-29,112.1,113.15,110.98,112.33,112.33,66058800
